timestamp,elapsed_s,cpu_max_mc,battery_mc,cpu_max_c,battery_c,status
2026-08-27 20:23:36,0,51700,33500,51.7,33.5,OK
2026-08-27 20:23:41,5,53600,33700,53.6,33.7,OK
2026-08-27 20:23:46,10,61000,33700,61.0,33.7,OK
2026-08-27 20:23:51,15,60600,34000,60.6,34.0,OK
2026-08-27 20:23:56,20,60600,33700,60.6,33.7,OK
2026-08-27 20:24:01,25,55600,33700,55.6,33.7,OK
2026-08-27 20:24:07,30,56000,34000,56.0,34.0,OK
2026-08-27 20:24:12,36,56000,34000,56.0,34.0,OK
2026-08-27 20:24:17,41,56700,34200,56.7,34.2,OK
2026-08-27 20:24:22,46,56300,34200,56.3,34.2,OK
2026-08-27 20:24:27,51,54400,34000,54.4,34.0,OK
2026-08-27 20:24:32,56,57900,34200,57.9,34.2,OK
2026-08-27 20:24:37,61,57900,34200,57.9,34.2,OK
2026-08-27 20:24:43,66,56300,34200,56.3,34.2,OK
2026-08-27 20:24:48,72,56300,34200,56.3,34.2,OK
2026-08-27 20:24:53,77,56000,34500,56.0,34.5,OK
2026-08-27 20:24:58,82,57100,34500,57.1,34.5,OK
2026-08-27 20:25:03,87,58700,34500,58.7,34.5,OK
2026-08-27 20:25:08,92,59000,34700,59.0,34.7,OK
2026-08-27 20:25:13,97,57100,34700,57.1,34.7,OK
2026-08-27 20:25:18,102,57100,34700,57.1,34.7,OK
2026-08-27 20:25:23,107,56700,34700,56.7,34.7,OK
2026-08-27 20:25:29,112,56300,34700,56.3,34.7,OK
2026-08-27 20:25:34,118,56000,35000,56.0,35.0,OK
2026-08-27 20:25:39,123,56700,35000,56.7,35.0,OK
2026-08-27 20:25:44,128,57100,35000,57.1,35.0,OK
2026-08-27 20:25:49,133,56700,35200,56.7,35.2,OK
2026-08-27 20:25:54,138,57100,35200,57.1,35.2,OK
2026-08-27 20:25:59,143,57100,35200,57.1,35.2,OK
2026-08-27 20:26:04,148,58300,35200,58.3,35.2,OK
2026-08-27 20:26:09,153,59000,35500,59.0,35.5,OK
2026-08-27 20:26:14,158,59000,35500,59.0,35.5,OK
2026-08-27 20:26:20,163,59400,35500,59.4,35.5,OK
2026-08-27 20:26:25,169,58300,35500,58.3,35.5,OK
