timestamp,elapsed_s,cpu_max_mc,battery_mc,cpu_max_c,battery_c,status
2026-08-27 20:42:36,0,45100,35500,45.1,35.5,OK
2026-08-27 20:42:41,5,49000,35500,49.0,35.5,OK
2026-08-27 20:42:46,10,50500,35500,50.5,35.5,OK
2026-08-27 20:42:50,15,50900,35500,50.9,35.5,OK
2026-08-27 20:42:55,19,50200,35500,50.2,35.5,OK
2026-08-27 20:43:00,24,50200,35500,50.2,35.5,OK
2026-08-27 20:43:05,29,52500,35700,52.5,35.7,OK
2026-08-27 20:43:09,34,53200,35700,53.2,35.7,OK
2026-08-27 20:43:14,38,53600,35500,53.6,35.5,OK
2026-08-27 20:43:19,43,54000,35500,54.0,35.5,OK
2026-08-27 20:43:23,48,54400,35500,54.4,35.5,OK
2026-08-27 20:43:28,52,54000,35700,54.0,35.7,OK
2026-08-27 20:43:32,57,54400,35700,54.4,35.7,OK
