run_id,configuration,threads,requested_affinity,actual_affinity,model,model_sha256,runtime_version,device,android_version,prompt_id,prompt_tokens,generated_tokens,generation_seconds,generation_tps,start_temp_c,min_temp_c,max_temp_c,end_temp_c,exit_code,validity,invalid_reason,timestamp
F0-4T-R1,F0-4T,4,f0,60,qwen2.5-3b-instruct-q4_k_m.gguf,626b4a6678b86442240e33df819e00132d3ba7dddfe1cdc4fbb18e0a9615c62d,0.2.0-dev,Redmi K20 Pro,11,repro_prompt,null,50,18,5.4,39.7,50.9,84.9,50.5,0,false,AFFINITY_FAILURE,20260827_211355
F0-4T-R2,F0-4T,4,f0,50,qwen2.5-3b-instruct-q4_k_m.gguf,626b4a6678b86442240e33df819e00132d3ba7dddfe1cdc4fbb18e0a9615c62d,0.2.0-dev,Redmi K20 Pro,11,repro_prompt,null,50,16,5.4,43.6,67.9,83.4,50.9,0,false,AFFINITY_FAILURE,20260827_211422
F0-4T-R3,F0-4T,4,f0,30,qwen2.5-3b-instruct-q4_k_m.gguf,626b4a6678b86442240e33df819e00132d3ba7dddfe1cdc4fbb18e0a9615c62d,0.2.0-dev,Redmi K20 Pro,11,repro_prompt,null,50,16,5.4,43.6,70.2,84.5,51.7,0,false,AFFINITY_FAILURE,20260827_211454
F0-4T-R4,F0-4T,4,f0,60,qwen2.5-3b-instruct-q4_k_m.gguf,626b4a6678b86442240e33df819e00132d3ba7dddfe1cdc4fbb18e0a9615c62d,0.2.0-dev,Redmi K20 Pro,11,repro_prompt,null,50,16,5.3,44.0,73.7,83.8,51.3,0,false,AFFINITY_FAILURE,20260827_211525
F0-4T-R5,F0-4T,4,f0,50,qwen2.5-3b-instruct-q4_k_m.gguf,626b4a6678b86442240e33df819e00132d3ba7dddfe1cdc4fbb18e0a9615c62d,0.2.0-dev,Redmi K20 Pro,11,repro_prompt,null,50,16,5.4,44.4,71.0,84.1,53.6,0,false,AFFINITY_FAILURE,20260827_211604
F0-4T-R6,F0-4T,4,f0,30,qwen2.5-3b-instruct-q4_k_m.gguf,626b4a6678b86442240e33df819e00132d3ba7dddfe1cdc4fbb18e0a9615c62d,0.2.0-dev,Redmi K20 Pro,11,repro_prompt,null,50,16,5.4,44.0,71.0,84.9,51.7,0,false,AFFINITY_FAILURE,20260827_211643
F0-4T-R7,F0-4T,4,f0,60,qwen2.5-3b-instruct-q4_k_m.gguf,626b4a6678b86442240e33df819e00132d3ba7dddfe1cdc4fbb18e0a9615c62d,0.2.0-dev,Redmi K20 Pro,11,repro_prompt,null,50,17,5.0,44.8,74.1,83.4,50.9,0,false,AFFINITY_FAILURE,20260827_211722
F0-4T-R8,F0-4T,4,f0,50,qwen2.5-3b-instruct-q4_k_m.gguf,626b4a6678b86442240e33df819e00132d3ba7dddfe1cdc4fbb18e0a9615c62d,0.2.0-dev,Redmi K20 Pro,11,repro_prompt,null,50,24,3.5,44.0,69.1,82.2,65.6,0,false,AFFINITY_FAILURE,20260827_211801
F0-4T-R9,F0-4T,4,f0,50,qwen2.5-3b-instruct-q4_k_m.gguf,626b4a6678b86442240e33df819e00132d3ba7dddfe1cdc4fbb18e0a9615c62d,0.2.0-dev,Redmi K20 Pro,11,repro_prompt,null,50,27,3.4,43.6,52.9,72.6,49.8,0,false,AFFINITY_FAILURE,20260827_211848
F0-4T-R10,F0-4T,4,f0,60,qwen2.5-3b-instruct-q4_k_m.gguf,626b4a6678b86442240e33df819e00132d3ba7dddfe1cdc4fbb18e0a9615c62d,0.2.0-dev,Redmi K20 Pro,11,repro_prompt,null,50,17,4.9,44.0,72.6,84.1,51.3,0,false,AFFINITY_FAILURE,20260827_212005
