timestamp,elapsed_s,cpu_max_mc,battery_mc,cpu_max_c,battery_c,status
2026-08-27 21:29:33,0,45500,35200,45.5,35.2,OK
2026-08-27 21:29:37,5,49400,35200,49.4,35.2,OK
2026-08-27 21:29:42,9,49800,35200,49.8,35.2,OK
2026-08-27 21:29:46,14,50500,35000,50.5,35.0,OK
2026-08-27 21:29:51,18,50900,35000,50.9,35.0,OK
2026-08-27 21:29:56,23,51300,35000,51.3,35.0,OK
2026-08-27 21:30:00,28,52900,35200,52.9,35.2,OK
2026-08-27 21:30:05,32,53200,35200,53.2,35.2,OK
2026-08-27 21:30:09,37,54400,35000,54.4,35.0,OK
2026-08-27 21:30:14,41,54400,35000,54.4,35.0,OK
2026-08-27 21:30:19,46,54000,35000,54.0,35.0,OK
2026-08-27 21:30:23,51,54000,35000,54.0,35.0,OK
2026-08-27 21:30:28,55,54000,35000,54.0,35.0,OK
